datetimeUtc,co,no,no2,nox,o3,pm10,target_pm25,so2
2023-01-02 01:00:00+00:00,0.1,,0.0121,,0.025,1.0,4.9,0.0003
2023-01-02 02:00:00+00:00,0.1,,0.0117,,0.025,7.0,4.5,0.0003
2023-01-02 03:00:00+00:00,0.1,,0.0068,,0.031,2.0,3.1,0.0003
2023-01-02 04:00:00+00:00,0.0,,0.0082,,0.032,3.0,3.2,0.0003
2023-01-02 05:00:00+00:00,0.1,,0.0074,,0.033,0.0,2.9,0.0003
2023-01-02 06:00:00+00:00,0.1,,0.0087,,0.03,1.0,3.7,0.0003
2023-01-02 07:00:00+00:00,0.0,,0.0071,,0.03,2.0,3.0,0.0003
2023-01-02 08:00:00+00:00,0.0,,0.0069,,0.032,0.0,2.9,0.0003
2023-01-02 09:00:00+00:00,0.0,,0.0055,,0.032,0.0,3.1,0.0002
2023-01-02 10:00:00+00:00,0.0,,0.0048,,0.033,0.0,3.2,0.0003
2023-01-02 11:00:00+00:00,0.0,,0.0046,,0.035,1.0,2.5,0.0002
2023-01-02 12:00:00+00:00,0.0,,0.0048,,0.034,2.0,2.5,0.0002
2023-01-02 13:00:00+00:00,,,0.0059,,0.034,1.0,2.7,0.0003
2023-01-02 14:00:00+00:00,0.1,,0.0054,,0.034,2.0,2.7,0.0002
2023-01-02 15:00:00+00:00,0.1,,0.0075,,0.031,2.0,2.9,0.0003
2023-01-02 16:00:00+00:00,0.1,,0.0094,,0.03,0.0,2.9,0.0002
2023-01-02 17:00:00+00:00,0.1,,0.0129,,0.028,6.0,2.9,0.0003
2023-01-02 18:00:00+00:00,0.1,,0.0095,,0.032,7.0,2.8,0.0003
2023-01-02 19:00:00+00:00,0.1,,0.0074,,0.035,5.0,2.6,0.0003
2023-01-02 20:00:00+00:00,0.1,,0.0066,,0.035,0.0,2.8,0.0003
2023-01-02 21:00:00+00:00,0.1,,0.006,,0.036,7.0,2.5,0.0003
2023-01-02 22:00:00+00:00,0.1,,0.0052,,0.037,6.0,2.9,0.0003
2023-01-02 23:00:00+00:00,0.1,,0.0063,,0.035,1.0,2.7,0.0002
2023-01-03 00:00:00+00:00,0.1,,0.0084,,0.033,4.0,3.0,0.0002
2023-01-03 01:00:00+00:00,0.1,,0.012,,0.028,0.0,3.6,0.0002
2023-01-03 02:00:00+00:00,0.1,,0.0129,,0.026,3.0,4.1,0.0002
2023-01-03 03:00:00+00:00,0.2,,0.0176,,0.02,3.0,6.6,0.0002
2023-01-03 04:00:00+00:00,0.1,,0.0175,,0.022,10.0,6.5,0.0003
2023-01-03 05:00:00+00:00,0.1,,0.0198,,0.021,11.0,7.7,0.0003
2023-01-03 06:00:00+00:00,0.1,,0.0149,,0.025,7.0,6.6,0.0003
2023-01-03 07:00:00+00:00,0.1,,0.0181,,0.021,7.0,7.0,0.0003
2023-01-03 08:00:00+00:00,0.1,,0.0145,,0.025,9.0,6.6,0.0003
2023-01-03 09:00:00+00:00,0.1,,0.0162,,0.02,4.0,8.1,0.0002
2023-01-03 10:00:00+00:00,0.1,,0.0188,,0.017,7.0,9.8,0.0002
2023-01-03 11:00:00+00:00,0.1,,0.0181,,0.02,11.0,9.3,0.0002
2023-01-03 12:00:00+00:00,0.1,,0.0171,,0.021,8.0,6.7,
2023-01-03 13:00:00+00:00,0.1,,0.0139,,0.025,7.0,6.3,0.0003
2023-01-03 14:00:00+00:00,0.1,,0.0194,,0.018,7.0,6.8,0.0002
2023-01-03 15:00:00+00:00,0.2,,0.0206,,0.016,5.0,8.7,0.0002
2023-01-03 16:00:00+00:00,0.2,,0.0242,,0.013,8.0,12.2,0.0003
2023-01-03 17:00:00+00:00,0.2,,0.0209,,0.019,10.0,15.5,0.0003
2023-01-03 18:00:00+00:00,0.2,,0.0196,,0.021,16.0,16.5,0.0004
2023-01-03 19:00:00+00:00,0.2,,0.0171,,0.024,7.0,15.3,0.0004
2023-01-03 20:00:00+00:00,0.2,,0.0163,,0.027,9.0,13.7,0.0005
2023-01-03 21:00:00+00:00,0.2,,0.0191,,0.026,17.0,13.1,0.0005
2023-01-03 22:00:00+00:00,0.2,,0.0177,,0.031,19.0,14.5,0.0007
2023-01-03 23:00:00+00:00,0.2,,0.0145,,0.03,19.0,13.7,0.0006
2023-01-04 00:00:00+00:00,0.2,,0.0174,,0.026,20.0,11.7,0.001
2023-01-04 01:00:00+00:00,0.2,,0.0208,,0.023,16.0,7.6,0.0004
2023-01-04 02:00:00+00:00,0.3,,0.0272,,0.014,17.0,7.0,0.0003
2023-01-04 03:00:00+00:00,0.3,,0.0352,,0.006,13.0,8.0,0.0004
2023-01-04 04:00:00+00:00,0.3,,0.0385,,0.005,17.0,12.1,0.0005
2023-01-04 05:00:00+00:00,0.3,,0.0336,,0.008,23.0,16.7,0.0004
2023-01-04 06:00:00+00:00,0.3,,0.0358,,0.003,26.0,17.2,0.0004
2023-01-04 07:00:00+00:00,0.3,,0.0355,,0.003,18.0,16.3,0.0004
2023-01-04 08:00:00+00:00,0.3,,0.0317,,0.005,14.0,13.2,0.0003
2023-01-04 09:00:00+00:00,0.2,,0.0261,,0.008,11.0,9.9,0.0002
2023-01-04 10:00:00+00:00,0.2,,0.0245,,0.01,15.0,7.3,0.0002
2023-01-04 11:00:00+00:00,0.2,,0.0263,,0.008,6.0,7.3,0.0003
2023-01-04 12:00:00+00:00,0.2,,0.0267,,,1.0,6.5,0.0003
2023-01-04 13:00:00+00:00,0.3,,0.0327,,0.002,2.0,7.4,0.0005
