UPC,LONG PRODUCT DESCRIPTION,BC CATEGORY,BC SUB CATEGORY,BC SEGMENT,RANDOM WEIGHT,BRAND OWNER HIGH,BASE SIZE,HW ORGANIC,PACK SIZE
427582863572,MLTP VL SHLT WHL PLD SNGL VGTB 16 OZ,ONIONS,VALUE ADD,MEAL PREP,YES,MULTIPLE BRANDS,16 OUNCE,NOT APPLICABLE,NOT APPLICABLE
003307450713,NTRS BNT RED ONN ORGN CRTF ORGN BY CF WHL BAG 32 OZ,ONIONS,RED,WHOLE,NO,CHIQUITA BRANDS INTERNATIONAL,32 OUNCE,ORGANIC,NOT APPLICABLE
427582894505,MLTP VL ONN ORGN SNGL VGTB 1 CT,ONIONS,REMAINING ONIONS,WHOLE,YES,MULTIPLE BRANDS,1 COUNT,ORGANIC,NOT APPLICABLE
527582835418,ONN CCKT SNGL VGTB 16 OZ,ONIONS,REMAINING ONIONS,WHOLE,YES,NO COMPANY LISTED,16 OUNCE,NOT APPLICABLE,NOT APPLICABLE
088518213569,CFP SHLT WHL MLDD TRY 3 OZ,ONIONS,SHALLOT,WHOLE,NO,CFP LTD,3 OUNCE,NOT APPLICABLE,NOT APPLICABLE
085312000312,WHT ONN WHL 1 CT,ONIONS,WHITE,WHOLE,NO,NO COMPANY LISTED,1 COUNT,NOT APPLICABLE,NOT APPLICABLE
002791899410,TNMR & ANT ART SWT ITLN RED ONN WHL BAG 96 OZ,ONIONS,SWEET,WHOLE,NO,"TANIMURA & ANTLE, INC.",96 OUNCE,NOT APPLICABLE,NOT APPLICABLE
082676618100,RNSN FD RED ONN DCD MLDD TRY 10 OZ,ONIONS,VALUE ADD,MEAL PREP,NO,CALAVO GROWERS INC,10 OUNCE,NOT APPLICABLE,NOT APPLICABLE
427582859713,SWT ONN MDM SNGL VGTB 16 OZ,ONIONS,SWEET,WHOLE,YES,NO COMPANY LISTED,16 OUNCE,NOT APPLICABLE,NOT APPLICABLE
065951300038,CHRL YLW ONN WHL BAG 48 OZ,ONIONS,SWEET,WHOLE,NO,CHARLES JOHNSON CO.,48 OUNCE,NOT APPLICABLE,NOT APPLICABLE
004114414093,ONN DCD CUP 1 CT,ONIONS,VALUE ADD,MEAL PREP,NO,NO COMPANY LISTED,1 COUNT,NOT APPLICABLE,NOT APPLICABLE
082838300202,RSMN FRM GRN ONN BNCH BNDD 1 CT,ONIONS,GREEN,BUNCH,NO,ROSEMONT FARMS CORPORATION,1 COUNT,NOT APPLICABLE,NOT APPLICABLE
088194580036,HVNL SWT BTS YLW ONN DCD MLDD TRY 7 OZ,ONIONS,VALUE ADD,MEAL PREP,NO,FRESH CUT PRODUCE LLC,7 OUNCE,NOT APPLICABLE,NOT APPLICABLE
427582859711,WHT ONN MDM SNGL VGTB 16 OZ,ONIONS,WHITE,WHOLE,YES,NO COMPANY LISTED,16 OUNCE,NOT APPLICABLE,NOT APPLICABLE
003784204630,FRDS GLD PRL ONN WHL BAG 6 OZ,ONIONS,PEARL,WHOLE,NO,"FRIEDA'S, INC.",6 OUNCE,NOT APPLICABLE,NOT APPLICABLE
200394619907,CTL BR YLW ONN DCD TUB 5 OZ,ONIONS,VALUE ADD,MEAL PREP,NO,PRIVATE LABEL,5 OUNCE,NOT APPLICABLE,NOT APPLICABLE
